time,turbidity,pH
2020-11-15 03:49:40.341381+00:00,65.85615918,7.35
2020-11-15 04:19:56.407948+00:00,53.61150649,7.35
2020-11-15 04:50:12.457615+00:00,40.97599715,7.35
2020-11-15 05:20:28.517787+00:00,30.97599715,7.35
2020-11-15 05:50:44.577344+00:00,32.09417621,7.35
2020-11-15 06:21:00.637718+00:00,27.73466229,7.35
2020-11-15 06:51:16.704534+00:00,17.97599715,7.38
2020-11-15 07:21:32.779372+00:00,17.61150649,7.38
2020-11-15 07:51:48.828440+00:00,18.09417621,7.35
2020-11-15 08:22:04.885757+00:00,17.73466229,7.35
2020-11-15 08:52:20.949006+00:00,17.97599715,7.35
2020-11-15 09:22:36.998940+00:00,17.73466229,7.35
2020-11-15 09:52:53.060667+00:00,17.85615918,7.35
